site,year,med,ci.lo,ci.hi,breadth,
BG,2014,0.242355068,0.022155682,0.756630512,0.73447483,0.00248314
BR,2014,0.324138591,0.037859454,0.829710647,0.791851193,0.017234464
CF,2014,0.208931906,0.027180378,0.718489884,0.691309506,0.342857143
CP3,2014,0.130527469,0.010801058,0.678415047,0.667613989,0.118638532
DEM,2014,0.216540727,0.026043065,0.704056084,0.678013019,0.200004393
DLW,2014,0.086914559,0.003608502,0.651507783,0.64789928,0.015692686
EC,2014,0.132595972,0.00678039,0.719691232,0.712910842,0.044042594
FR,2014,0.038536804,0.00210896,0.348982877,0.346873917,0.122093764
GCN,2014,0.040391573,0.002149012,0.4843545,0.482205488,0.01909679
KYE,2014,0.091128482,0.00342386,0.767369189,0.763945329,0.041379672
LCE,2014,0.1068325,0.004522649,0.604479604,0.599956955,0.288759252
LCW,2014,0.08604271,0.004136543,0.741758401,0.737621858,0.000393257
LO,2014,0.191186823,0.01785617,0.6512446,0.63338843,0.280732789
MC,2014,0.092103001,0.005837444,0.615445406,0.609607962,0.032694145
OKRE,2014,0.203763146,0.02742555,0.723757457,0.696331906,0.009986162
OKRW,2014,0.074887288,0.003975384,0.668638123,0.664662739,0.034818197
OSR,2014,0.133701105,0.005626503,0.745933481,0.740306978,0.063977352
S22,2014,0.094765569,0.004135117,0.739341881,0.735206764,0.110403388
SM,2014,0.147539837,0.005988691,0.800858827,0.794870136,0.070461845
URS,2014,0.048356979,0.002058389,0.473784507,0.471726118,0.016380461
BG,2015,0.002747835,0.00024661,0.019594749,0.019348139,0.001346539
BR,2015,0.008334326,0.000769707,0.053932823,0.053163117,0.007462687
CF,2015,0.076704803,0.00857389,0.34711718,0.338543291,0.0625
CP3,2015,0.065454983,0.004833881,0.353242574,0.348408692,0.195295467
DEM,2015,0.073771284,0.007679949,0.340152058,0.332472108,0.058823529
DLW,2015,0.033999247,0.001726142,0.22362608,0.221899938,0.015318081
EC,2015,0.122006192,0.019042604,0.360463243,0.341420639,0.142857143
FR,2015,0.016623649,0.001509776,0.120499284,0.118989507,0.011111111
GCN,2015,0.022001739,0.001896457,0.171145557,0.1692491,0.027522936
KYE,2015,0.080639787,0.013258899,0.244026169,0.23076727,0.10326087
LCE,2015,0.104175974,0.008861585,0.399079718,0.390218132,0.444989026
LCW,2015,0.096131236,0.004525657,0.638614924,0.634089268,0.001207806
LO,2015,0.041132073,0.003538801,0.278718593,0.275179792,0
MC,2015,0.010300797,0.00052792,0.07263827,0.07211035,0.021667662
OKRE,2015,0.094545026,0.007985387,0.406199833,0.398214446,0.014358502
OKRW,2015,0.047278986,0.002942543,0.388867037,0.385924494,0.150533378
OSR,2015,0.01200429,0.001107602,0.103151863,0.10204426,0.018391251
S22,2015,0.044642153,0.004215201,0.286145966,0.281930765,0.046875
SM,2015,0.11656885,0.020595562,0.404903954,0.384308392,0.126760563
URS,2015,0.057809235,0.004054185,0.461658013,0.457603828,0.022509972
