"site","year","med","ci.lo95","ci.hi95","ci.lo50","ci.hi50"
"KYE",2013,0.0165151715450742,0.00114981423166547,0.143142615881645,0.00709679253501195,0.0345975385898659
"KYE",2014,0.0911284820802505,0.00342385975584323,0.767369188981812,0.0321838792248923,0.238168786297546
"KYE",2015,0.0806397872646611,0.0132588991529216,0.244026168841368,0.0530363081502555,0.109699638125138
"LCE",2006,0.121362945043001,0.0214400541580376,0.35843584186317,0.0831828958597068,0.166772344947586
"LCE",2007,0.422864969188994,0.0633758231622002,0.795867137548738,0.281149790025402,0.558638768221408
"LCE",2008,0.18405696210174,0.032007879963456,0.546581293193659,0.118061487105029,0.263721243893947
"LCE",2009,0.128766488530622,0.0119390601943438,0.60910160175341,0.0623280567539111,0.242903224234968
"LCE",2010,0.0660901660108542,0.00561657600599788,0.392718475105827,0.0329496508545876,0.117476696842447
"LCE",2011,0.117429701498833,0.00680946223447312,0.649596537474749,0.0522545745396255,0.213914098479735
"LCE",2012,0.0924533558012647,0.00559339899825422,0.57135931493986,0.0382099431390199,0.184552587174112
"LCE",2013,0.0846170799410075,0.00596339008804344,0.533316978339892,0.0402964878874656,0.159114955356054
"LCE",2014,0.106832499938254,0.00452264851170609,0.604479603536799,0.0497207206186341,0.191913066646435
"LCE",2015,0.104175973548958,0.00886158546009427,0.399079717726126,0.0519879954679848,0.153044243090365
"LCW",2006,0.12491316050256,0.00775962949916847,0.698829658262558,0.0541888005286729,0.256267537379017
"LCW",2007,0.251873045371174,0.0225542247061838,0.839027000120192,0.117826167115555,0.466412127628508
"LCW",2008,0.0491270816044474,0.00573398790024176,0.333975614305549,0.0244815472163654,0.0967558845984773
"LCW",2009,0.0253592296896713,0.00196464282356114,0.244636781606293,0.011385573342598,0.0552748961338653
"LCW",2010,0.272106415728093,0.03139964804702,0.804742807459997,0.152065076724451,0.448628998476955
"LCW",2011,0.201553085189264,0.0169712233704462,0.706780295895633,0.100341122545296,0.323896845990964
"LCW",2012,0.0884178383750578,0.00400328513439207,0.654359452924866,0.0387404866910478,0.18370924511919
"LCW",2013,0.0191773510264588,0.00145652305373995,0.156389184010568,0.00946887399981323,0.0366872056752434
"LCW",2014,0.0860427104448812,0.00413654330043429,0.741758400948895,0.0324851515331856,0.205508859498817
"LCW",2015,0.0961312359373585,0.00452565651328849,0.638614924163171,0.0357795465765592,0.196060731845855
"LO",2006,0.0922551139030623,0.00608869930127473,0.553787184903086,0.0421000450899668,0.184430685817744
"LO",2007,0.215629774894213,0.0287292783897133,0.676559078817417,0.132846307509856,0.323026929798203
"LO",2008,0.319893413295362,0.038342481916716,0.847491847611934,0.168968748972386,0.51886007453165
"LO",2009,0.391514000731051,0.0530561888753525,0.889441253332809,0.221003186871997,0.59370567314776
"LO",2010,0.0905812079206691,0.0108653598733711,0.436166558373384,0.04973300548594,0.151648395464991
"LO",2011,0.169680996826091,0.0114245803014926,0.81628575966765,0.0697822554126247,0.349031472489531
"LO",2012,0.295182767974059,0.0234859102888145,0.885402864172137,0.130983151711052,0.504543388355167
"LO",2013,0.10991695278808,0.0154325637304898,0.418419666718981,0.0670495960478127,0.163030000388067
"LO",2014,0.191186823414775,0.0178561695301667,0.651244599722122,0.10094997714986,0.322215956685032
"LO",2015,0.0411320727355979,0.00353880132145484,0.278718593444498,0.0198068492239688,0.0747342638926585
"MC",2006,0.0296468971289596,0.00237598571386006,0.20693941980554,0.0138295179931794,0.0556159505104475
"MC",2007,0.114248044421092,0.00833107201919137,0.585596203845104,0.0547244304608477,0.212326594608008
"MC",2008,0.127728020624479,0.0121824956330747,0.618551604340218,0.0589292142738887,0.243659666250115
"MC",2009,0.248382159520894,0.0227424960024213,0.767006233381155,0.131226970415407,0.41864455714013
"MC",2010,0.348849642383392,0.0401189160421793,0.854716219262658,0.193082542737897,0.544155988601604
"MC",2011,0.173314873892112,0.0380200353057047,0.521954445501574,0.1104882050243,0.263024775222575
"MC",2012,0.0110841621331497,0.00086099624191537,0.0803184883019833,0.00567929357620914,0.0199647544579309
"MC",2013,0.00354398248513677,0.000397737431845589,0.0261939301752822,0.00190798814565407,0.00686771551559049
"MC",2014,0.0921030006594862,0.00583744363545314,0.615445405795727,0.0404628956935268,0.19652112486147
"MC",2015,0.0103007970873888,0.000527919688303054,0.072638269930169,0.0045596361485611,0.020445425033166
"OKRE",2006,0.0482897287011585,0.00481463735017472,0.369521689276652,0.0251141255372109,0.0914314811963881
"OKRE",2007,0.196259789539972,0.0290101500386317,0.580021592554533,0.130949814289009,0.280673739172747
"OKRE",2008,0.284766077973793,0.041707014367769,0.749020983279594,0.174928936233867,0.417723856293745
"OKRE",2009,0.229756452714183,0.0230152655028987,0.788641778779786,0.11251617169849,0.411713477145267
"OKRE",2010,0.332198113774939,0.0363579289258111,0.879871283304589,0.174946358566575,0.562032846333179
"OKRE",2011,0.329576726075515,0.0988002324336931,0.719766688443389,0.253485374948501,0.421232663892849
"OKRE",2012,0.105150411897937,0.0106281866598073,0.545366312367188,0.051346788962913,0.19933966918199
"OKRE",2013,0.0889389783044513,0.00794030574156221,0.420387200735909,0.0504582909062324,0.145769791560815
"OKRE",2014,0.203763145625698,0.0274255503913751,0.723757456529139,0.114446612572925,0.336451700756298
"OKRE",2015,0.0945450264046636,0.00798538715210737,0.406199832673939,0.0486719723769655,0.150993267931515
"OKRW",2006,0.035796975289081,0.00287712578109005,0.30538769148706,0.0156859652168138,0.0787099351729481
"OKRW",2007,0.0264099327527912,0.00242741621779467,0.194638513357455,0.0133727763475992,0.0507163563396063
"OKRW",2008,0.164522579668326,0.0335916995463073,0.477609398470999,0.115782804382114,0.22792290300212
"OKRW",2009,0.207941868726827,0.0206632682160337,0.771587135764613,0.101467618342142,0.369777210048287
"OKRW",2010,0.302138815282547,0.0331943382533436,0.835299654460695,0.1601667739647,0.495439788337654
"OKRW",2011,0.250764924352874,0.0292773251092971,0.71291357901973,0.154194663784438,0.365038788116857
"OKRW",2012,0.0301498764696629,0.00178250176077127,0.220921691871499,0.0125598855207436,0.0637956362634999
"OKRW",2013,0.0225350284721588,0.00118120908607828,0.169038522110889,0.0101631913597081,0.0450517620980675
"OKRW",2014,0.0748872883390922,0.00397538380976629,0.668638123225992,0.0300704290565584,0.191937949712895
"OKRW",2015,0.0472789857582788,0.00294254315593044,0.38886703667882,0.0168431777436705,0.115060161794742
"OSR",2006,0.0449515914926564,0.00279966708095766,0.422257308089851,0.0189812814094623,0.103334416730255
"OSR",2007,0.130551603135871,0.00982586911826381,0.63484607063852,0.0570730164648031,0.260936657406525
"OSR",2008,0.380846443120241,0.0548937069892394,0.866690828553984,0.240151824339531,0.534936851991048
"OSR",2009,0.5669153850681,0.16452757288449,0.85323706458978,0.452868507913349,0.657588280447017
"OSR",2010,0.485580946331288,0.0648932573940549,0.907822918821833,0.287217065940837,0.670983728955404
"OSR",2011,0.292295588250652,0.0364074738423294,0.81777329330905,0.159098539486456,0.480076754921486
"OSR",2012,0.130331702913462,0.00862452390896902,0.674153899220049,0.0530946970115133,0.262429744403944
"OSR",2013,0.00863781506325945,0.000797551451348586,0.0582262533637624,0.00423425886865093,0.016403881373495
"OSR",2014,0.133701104652073,0.00562650300701085,0.745933481493909,0.0506539453923774,0.320822505859617
"OSR",2015,0.0120042899624781,0.00110760245268674,0.103151862822052,0.00585852392411993,0.0245059603820655
"S22",2006,0.253014797885459,0.0227502510078511,0.835059023961318,0.116752939445825,0.45938333292382
"S22",2007,0.0137151852792622,0.000846908580177063,0.11231075895541,0.00542403138499013,0.0278470703295015
"S22",2008,0.141537731810195,0.0161239229357415,0.612514382919829,0.074605292206384,0.248249826512115
"S22",2009,0.287001511665145,0.0259203943491227,0.792715179939902,0.152259924791102,0.449522004961857
"S22",2010,0.32749622999004,0.0413108243540397,0.861362826922407,0.176079513748423,0.527427230497529
"S22",2011,0.375841173896754,0.0459204591782169,0.893484080680007,0.219732922738027,0.575817919769658
"S22",2012,0.00688850953299015,0.000757376670805452,0.0443048157080825,0.00361005530821018,0.0125769219392712
