"site"	"transect"	"position"	"year"	"seedlingNumber"	"fruitplNumber"
"DEM"	"IV"	"2"	2011	0	1
"DEM"	"IV"	"3"	2007	0	3
"DEM"	"IV"	"4"	2007	0	3
"DEM"	"IV"	"5"	2007	0	8
"DLW"	"I"	"2"	2007	0	1
"DLW"	"I"	"3"	2008	0	1
"DLW"	"I"	"6"	2010	3	4
"DLW"	"II"	"2"	2010	0	1
"DLW"	"II"	"2"	2011	0	1
"DLW"	"II"	"2"	2018	0	1
"DLW"	"II"	"3"	2018	0	3
"DLW"	"III"	"3"	2012	0	1
"DLW"	"III"	"3"	2016	0	1
"DLW"	"III"	"4"	2009	0	1
"DLW"	"III"	"4"	2010	3	5
"DLW"	"III"	"5"	2019	1	2
"DLW"	"IV"	"4"	2009	0	1
"DLW"	"IV"	"5"	2010	0	1
"DLW"	"V"	"3"	2007	0	1
"DLW"	"V"	"4"	2010	1	2
"DLW"	"V"	"4"	2016	0	2
"EC"	"I"	"2"	2008	0	4
"EC"	"I"	"3"	2013	0	1
"EC"	"I"	"4"	2010	2	5
"EC"	"I"	"4"	2013	1	2
"EC"	"I"	"5"	2008	3	6
"EC"	"I"	"5"	2016	1	2
"EC"	"I"	"6"	2019	0	2
"EC"	"I"	"7"	2008	1	14
"EC"	"I"	"7"	2019	0	1
"EC"	"II"	"1"	2008	0	4
"EC"	"II"	"3"	2008	0	7
"EC"	"II"	"3"	2010	3	5
"EC"	"II"	"4"	2013	1	3
"EC"	"II"	"5"	2008	0	4
"EC"	"II"	"5"	2013	0	2
"EC"	"II"	"6"	2010	3	4
"EC"	"III"	"1"	2008	0	3
"EC"	"III"	"1"	2010	9	10
"EC"	"III"	"5"	2010	12	13
"EC"	"III"	"7"	2010	26	56
"EC"	"IV"	"1"	2007	0	5
"EC"	"IV"	"2"	2007	0	4
"EC"	"IV"	"2"	2008	0	8
"EC"	"IV"	"3"	2007	0	4
"EC"	"IV"	"3"	2014	0	1
"EC"	"IV"	"3"	2019	13	15
"EC"	"IV"	"4"	2007	3	4
"EC"	"IV"	"4"	2019	0	16
"EC"	"IV"	"5"	2007	1	3
"EC"	"IV"	"6"	2007	7	8
"EC"	"IV"	"6"	2013	1	2
"EC"	"IV"	"7"	2007	0	6
