"site","year","med","ci.lo","ci.hi"
"FR",2006,7.13129665456586,6.4047455274502,7.94747099282576
"FR",2007,4.922119848387,4.36097522227544,5.57080520518977
"FR",2008,5.552163283892,4.88297798110928,6.39956375656636
"FR",2009,6.15026346702907,5.4210189856843,6.99554160497643
"FR",2010,4.3955354700274,4.08226295569669,4.74963741218744
"FR",2011,5.25254869450312,4.6719116282788,5.93187375379875
"FR",2012,5.32760139408288,4.05556176566501,7.22101608851164
"GCN",2006,6.05033038238168,5.45446512844974,6.78862188829878
"GCN",2007,3.4572126791999,3.10841355443157,3.84396482901671
"GCN",2008,5.48429778601925,4.84118861977106,6.22523109646555
"GCN",2009,3.6195637126987,3.20292538868235,4.06372521730805
"GCN",2010,7.11927379398412,6.44277330283566,7.95325058499992
"GCN",2011,2.52915950766842,2.27353016579568,2.80572869827274
"GCN",2012,3.3994616985527,3.04217177077077,3.79157505119448
"KYE",2006,6.33930709350527,5.68499909472357,7.10630474116228
"KYE",2007,2.96065414979953,2.69146455395672,3.25150059733619
"KYE",2008,3.19094641756327,2.92445826724269,3.48917543099317
"KYE",2009,2.56835850485821,2.30186007345288,2.85466852332147
"KYE",2010,4.36786129558503,4.07298693353619,4.67395685546074
"KYE",2011,3.47244828299828,3.11035488084213,3.87261878650416
"KYE",2012,4.06013492923038,3.41588493087091,4.82832373924682
"LCE",2006,11.7919803518501,10.5630868275481,13.2334688320394
"LCE",2007,16.3510630503668,14.5343585785245,18.4146834962764
"LCE",2008,4.45437605752022,3.84681786206057,5.18620845434147
"LCE",2009,4.1507888905563,3.61437593400198,4.76510815216078
"LCE",2010,5.60246484283322,4.99373270834123,6.32596849513362
"LCE",2011,6.622608348173,4.91418221952375,9.22455969237147
"LCE",2012,7.37548858970214,1.41163841122724,37.3355437720909
"LCW",2006,18.0666819366323,16.2321026871293,20.1197862473874
"LCW",2007,6.55722278954208,5.84060320842299,7.38640435594388
"LCW",2008,2.62007805849882,2.37934967867047,2.88846918875848
"LCW",2009,6.97590913264497,6.0415344695913,8.00258881529342
"LCW",2010,5.16462547287224,4.66722056107132,5.71822092829668
"LCW",2011,12.7278062129194,9.8314609253301,16.9036271016821
"LCW",2012,26.1332560925925,14.1167738156179,39.6773627312164
"LO",2006,7.76774446011111,6.55304889758442,9.221785726311
"LO",2007,22.7838033056751,19.0845083029371,27.3270449435495
"LO",2008,5.57975751563084,4.99048079353858,6.19244315818576
"LO",2009,2.16436918164173,2.01283581733331,2.31813575661584
"LO",2010,7.00991603731529,6.27865000133978,7.81589007535595
"LO",2011,4.99392888980992,3.94139528241518,6.4416311838209
"LO",2012,5.66636374380372,3.18004269146463,9.80095157956595
"MC",2006,10.2788581240291,9.0027870079016,11.8490508296556
"MC",2007,6.15965346094377,5.40477950195242,7.04465065111809
"MC",2008,4.81930488617716,4.22858841025885,5.57561635675411
"MC",2009,6.83000243368007,5.9461800002891,7.86334371588435
"MC",2010,6.66825507414164,6.07150539686667,7.36089517079154
"MC",2011,7.161638352757,6.35997580480368,8.04506987748904
"MC",2012,5.10321425889685,4.33479395562397,5.99239165797535
"OKRE",2006,4.464009850352,3.7922289421993,5.31650997478242
"OKRE",2007,3.72364953122152,2.9484721274109,4.68913602064661
"OKRE",2008,4.59185105084452,3.67235093509877,5.77239502595907
"OKRE",2009,4.22545465592824,3.74173850809771,4.77840211261914
"OKRE",2010,5.93618750853614,5.22575597058136,6.75239879752403
"OKRE",2011,7.34705285313494,6.44292761454693,8.41870779175096
"OKRE",2012,6.17662278421358,3.54143850192047,12.4185473358538
"OKRW",2006,6.04796843139631,5.5471010246511,6.58044916790482
"OKRW",2007,2.81413851201002,2.34295878689692,3.40663099872344
"OKRW",2008,5.36863969365896,4.33296224676875,6.72644683754111
"OKRW",2009,3.40384113875454,2.86235783897817,4.03725113164301
"OKRW",2010,5.46012378026331,4.88618244662899,6.10742660388721
"OKRW",2011,11.2729762454058,9.70925476381501,13.3168363425087
"OKRW",2012,3.40374661722216,2.09701304169398,5.70917520102977
"OSR",2006,4.93114950752416,4.48929945116591,5.47478557468677
"OSR",2007,3.50104544617218,3.21157376173312,3.80911750002902
"OSR",2008,5.13031804618186,4.61210506478545,5.7069282949145
"OSR",2009,5.48221022888567,4.9406995490839,6.07598010019146
"OSR",2010,4.15712698855325,3.79396799112129,4.55618456379614
"OSR",2011,4.98657774276876,4.47277032367566,5.59405943691704
"OSR",2012,3.8539449962201,3.34224135056038,4.43577212729991
"S22",2006,5.21677197585222,4.75949858083044,5.70414364004715
"S22",2007,3.61684891546392,3.20943291380503,4.08978177008714
"S22",2008,2.71090402904323,2.3137507952875,3.13805785892986
"S22",2009,5.08932748942106,4.52208605571169,5.74571492022619
"S22",2010,3.89645156780471,3.50724151757355,4.28771998625841
"S22",2011,13.0965091597957,11.3654106422903,15.1898278040331
"S22",2012,5.63561937461771,4.81001727271671,6.59192305343476
"SM",2006,6.93806099312683,6.23164111868439,7.76828533663329
"SM",2007,3.56312615695749,2.76033808442327,4.66547716232899
"SM",2008,2.9867666078753,2.52112028703689,3.53456427070061
"SM",2009,2.89073666440084,2.53757924059441,3.26201611171017
"SM",2010,2.62047015248892,2.33152157190856,2.9594657686281
"SM",2011,2.6065885939972,2.30690655723651,2.92954035768965
"SM",2012,3.02998572750732,2.48084555975252,3.64017912933699
"URS",2006,14.525668014036,10.8126684161577,19.7486327274319
"URS",2007,8.86264842956622,6.93692415727989,11.628369898993
"URS",2008,4.91736563696777,3.8503778691887,6.47924506690011
"URS",2009,9.82994300522351,7.92808886188638,12.3096664745009
"URS",2010,16.8741981688499,15.2053123761099,18.7982624978315
"URS",2011,12.9337147960787,10.1920024066329,16.3580107659798
"URS",2012,17.5256018342187,8.82908968920634,37.3726215454416
