"site","year","med","ci.lo95","ci.hi95"
"DEM",2009,0.168115258361232,0.0222832665542242,0.629558868535784
"DEM",2010,0.128709308852826,0.0117395453128185,0.633397147141963
"DEM",2011,0.12365343481367,0.00808479192589824,0.683561902612531
"DEM",2012,0.0639525544694552,0.00529706136426313,0.428324499415909
"DEM",2013,0.0369727133160273,0.00419922923773532,0.224804779070581
"DEM",2014,0.228556218152405,0.0275494855635717,0.731789497726096
"DEM",2015,0.0698145026580403,0.00783968738032136,0.36574068220944
"DEM",2016,0.217907980130422,0.0169358157044189,0.780543271892535
"DEM",2017,0.147971586787337,0.01439398430062,0.673756866962383
"DEM",2018,0.218651984792515,0.0296127049515153,0.696880126451085
"DEM",2019,0.0745634005282231,0.00533718786744813,0.548808657258262
"DLW",2006,0.0652018144586139,0.0121051558073042,0.245343901622706
"DLW",2007,0.166388904350791,0.0206146480433206,0.556005388965754
"DLW",2008,0.152019757868682,0.022290543147206,0.540019751519645
"DLW",2009,0.117001325855905,0.012733685711131,0.455201502857853
"DLW",2010,0.521160193037855,0.184085819776195,0.845065136975637
"DLW",2011,0.278737241862733,0.0243827165195672,0.842204367864933
"DLW",2012,0.188160592935259,0.0256920416378023,0.595195681601803
"DLW",2013,0.0224177661210825,0.00304458138415484,0.1029360350578
"DLW",2014,0.104121590768617,0.00599218190722454,0.619942443950617
"DLW",2015,0.0325328827213954,0.0034402473658909,0.228603472143456
"DLW",2016,0.199951195645311,0.0143720440359596,0.742533931686796
"DLW",2017,0.0781391337085919,0.00581812563267006,0.52657734033969
"DLW",2018,0.406003204970119,0.0261742819973417,0.914618683300795
"DLW",2019,0.172586485356459,0.0161682281655077,0.71220367262209
"EC",2006,0.127947037535985,0.0212726241668275,0.465148557669735
"EC",2007,0.40257517615343,0.103790840355429,0.794466661848375
"EC",2008,0.432830123696945,0.111859791060432,0.81418408521583
"EC",2009,0.151600420120716,0.0176079243951596,0.626942765699986
"EC",2010,0.285202927017005,0.0470196374094628,0.762836598589343
"EC",2011,0.211717626409603,0.0352615587222345,0.656245689438901
"EC",2012,0.013994383152065,0.00117018884950913,0.108849864229467
"EC",2013,0.0344066564167139,0.003202841083131,0.172314869108704
"EC",2014,0.112979024078525,0.00705457552804344,0.681030225477268
"EC",2015,0.128691556281278,0.0185593589942922,0.350024767730268
"EC",2016,0.0201668925088345,0.00156248531550737,0.17773529476764
"EC",2017,0.147664776669311,0.0088265731286614,0.737751055504248
"EC",2018,0.0889102954820927,0.00501913626940437,0.530482816603111
"EC",2019,0.559058482255689,0.0754097730583176,0.926235209615663
"FR",2006,0.0583003403227457,0.00604934799132531,0.383900564017613
"FR",2007,0.30547363501902,0.0272363265671025,0.875877481201621
"FR",2008,0.0327286926332211,0.00269492679227141,0.283612056601846
"FR",2009,0.329148503685907,0.1660806901217,0.513838098373292
"FR",2010,0.278857136562065,0.0376566362082829,0.795388032279326
"FR",2011,0.0974358017249067,0.0074811860426545,0.603638947184725
"FR",2012,0.0347932193360171,0.00350350902443945,0.170589016860099
"FR",2013,0.00828610363583058,0.000679175505513493,0.0549461294313407
"FR",2014,0.0455067307701436,0.00275214352384318,0.43407816208028
"FR",2015,0.0194826584393529,0.00184062115218246,0.129062169976037
